	shop_id	shop_name	shop_group_name	lng	lat	comment_num	good_rate	avg_price	taste_score	env_score	ser_score	weighted_hits	favor_list	verse_taxi_distance	route	public_duration	category_name	category_id
52	65998263	金龄餐馆	金龄餐馆	121.060267	31.119629	338	94.7	78	9.0	8.9	9.0	11417.3	银鱼炒蛋,白切鸡,油焖茭白,白水鱼,爆炒螺蛳	-68336.0	杨高北路站(1口)->嘉善路站(地铁12号线)->洞泾站(地铁9号线)->朱家角(下客站)站(松朱专线)	3小时24分	本帮江浙菜	101
53	22521492	河鲜馆	河鲜馆	121.060895	31.115031	697	90.1	73	9.0	8.5	9.0	10965.3	河鲜面疙瘩,红烧鲫格朗,盐水河虾,清蒸白水鱼,酒香草头	-67322.0	杨高北路站(1口)->嘉善路站(地铁12号线)->洞泾站(地铁9号线)->朱家角(下客站)站(松朱专线)	3小时18分	本帮江浙菜	101
54	18176958	157食坊	157食坊	121.426338	31.206577	289	88.2	81	9.0	7.7	9.0	10298.0	舌尖油爆虾,烤肉烤鸡,响油鳝丝,熏鱼,炸小土豆	-25983.0	杨高北路站(1口)->大连路站(地铁12号线)->虹桥路站(地铁4号线)	1小时15分	本帮江浙菜	101
55	93544323	龙驿楼	龙驿楼	121.584290	31.184646	71	98.6	277	9.0	9.1	9.0	894.3	长江小杂鱼,河豚菜心,蟹黄汤包,野生甲鱼,红烧肉	-16254.0	杨高北路站(1口)->大连路站(地铁12号线)->世纪大道站(地铁4号线)->龙阳路站(地铁2号线)->华夏中路站(地铁16号线)	1小时19分	本帮江浙菜	101
56	76848011	荟廷	荟廷	121.409747	31.203433	716	92.3	152	8.9	9.2	9.0	62303.7	红酒牛肉粒,黑蒜糖醋里脊,蟹仔粉丝煲,青苹果乐园,火焰葱烧牛舌	-30559.0	杨高北路站(1口)->天潼路站(地铁12号线)->伊犁路站(地铁10号线)	1小时19分	本帮江浙菜	101
57	69521429	食庐(浦东嘉里城店)	食庐	121.570406	31.218855	570	87.2	222	8.9	9.0	8.6	34617.2	牛油果三文鱼龙虾塔,扬州狮子头,招牌鲳鱼饭,龙须富贵鱼,淮扬软兜	-11875.0	杨高北路站(1口)->大连路站(地铁12号线)->世纪大道站(地铁4号线)->龙阳路站(地铁2号线)->花木路站(地铁7号线)	1小时11分	本帮江浙菜	101
58	76836809	宝燕海货工场一店宁波菜(一店)	宝燕海货工场一店宁波菜	121.445945	31.288004	548	88.9	262	8.9	8.5	8.0	30736.1	椒盐虾菇,芝士焗龙虾,蒜蓉粉丝蒸小鲍鱼,葱烤帝王蟹,葱姜炒蛏子	-22315.0	杨高北路站(1口)->大连路站(地铁12号线)->灵石路万荣路站(79路)	1小时33分	本帮江浙菜	101
59	63177252	N318(上海广场店)	N318	121.484396	31.230850	2734	85.2	226	8.9	8.5	8.7	81623.3	N318红烧肉,熬制千岛湖鱼汤,N318鹅肝,大骨髓煨萝卜,入口即化猪肝	-18358.0	杨高北路站(1口)->曲阜路站(地铁12号线)->大世界站(地铁8号线)	1小时4分	本帮江浙菜	101
60	75626997	农家大院(虹桥店)	农家大院	121.349722	31.180764	1543	95.8	77	8.9	9.0	8.6	22600.4	金华桶饼,超级大麻球,金华土鸡,铁板明虾,现做豆腐皮	-41881.0	杨高北路站(1口)->大连路站(地铁12号线)->延安西路站(地铁4号线)->航新路站(71路[中运量]区间)	1小时44分	本帮江浙菜	101
61	5995973	鹿园 MOOSE	鹿园 MOOSE	121.435832	31.208208	2070	88.9	411	8.9	9.2	9.0	84623.2	烤鸭,公主的素蟹粉,文火焖小牛肉,凤尾虾,牛奶布丁	-24387.0	杨高北路站(1口)->天潼路站(地铁12号线)->交通大学站(地铁10号线)	1小时15分	本帮江浙菜	101
